STATE,COUNTY_NAME,datetime,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DOY,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,humidity
CA,San Diego,2012-5-5,4,Campfire,126,A,34.33,-118.0191667,
CA,San Diego,2012-8-18,9,Miscellaneous,232,D,34.75111111,-118.7708333,
CA,San Diego,2012-9-3,2,Equipment Use,247,B,34.33916667,-118.5063889,
CA,San Diego,2012-5-21,2,Equipment Use,142,A,34.33944444,-118.5091667,
CA,San Diego,2012-12-10,2,Equipment Use,345,A,34.68027778,-118.4597222,
CA,San Diego,2012-8-9,1,Lightning,222,A,34.38388889,-117.6927778,
CA,San Diego,2012-8-24,9,Miscellaneous,237,B,34.56944444,-118.68,
CA,San Diego,2012-4-20,2,Equipment Use,111,A,34.4975,-118.2675,
CA,San Diego,2012-4-7,2,Equipment Use,98,A,34.23638889,-117.8416667,
CA,San Diego,2012-8-11,1,Lightning,224,A,34.45388889,-117.9902778,
CA,San Diego,2012-5-12,2,Equipment Use,133,A,34.47305556,-118.3113889,
CA,San Diego,2012-3-11,2,Equipment Use,72,B,34.54194444,-118.3369444,
CA,San Diego,2012-2-26,9,Miscellaneous,57,A,34.165,-117.8916667,
CA,San Diego,2012-6-27,2,Equipment Use,179,B,34.6,-118.7108333,
CA,San Diego,2012-9-8,1,Lightning,252,A,34.45805556,-117.8166667,
CA,San Diego,2012-8-28,9,Miscellaneous,241,A,34.13166667,-117.7877778,
CA,San Diego,2012-10-11,1,Lightning,285,A,34.30166667,-118.2663889,
CA,San Diego,2012-6-1,2,Equipment Use,153,B,34.48611111,-118.2866667,
CA,San Diego,2012-2-12,5,Debris Burning,43,A,34.57666667,-118.6911111,
CA,San Diego,2012-2-24,2,Equipment Use,55,A,34.38388889,-118.4855556,
CA,San Diego,2012-7-24,2,Equipment Use,206,B,34.33333333,-118.4366667,
CA,San Diego,2012-4-8,2,Equipment Use,99,B,34.4625,-118.3422222,
CA,San Diego,2012-7-1,9,Miscellaneous,183,B,34.47166667,-118.3169444,
CA,San Diego,2012-8-30,1,Lightning,243,A,34.46861111,-117.9025,
CA,San Diego,2012-6-23,2,Equipment Use,175,A,34.56833333,-118.6863889,
CA,San Diego,2012-10-20,7,Arson,295,B,34.4025,-117.8080556,
CA,San Diego,2012-12-31,5,Debris Burning,366,A,34.44972222,-118.2033333,
CA,San Diego,2012-7-20,2,Equipment Use,202,A,34.50083333,-118.1197222,
CA,San Diego,2012-2-12,2,Equipment Use,43,A,34.50138889,-118.2208333,
CA,San Diego,2012-8-13,4,Campfire,226,A,34.14833333,-117.9269444,
CA,San Diego,2012-10-3,9,Miscellaneous,277,B,34.605,-118.2708333,
CA,San Diego,2012-5-8,2,Equipment Use,130,D,34.43833333,-118.2216667,
CA,San Diego,2012-11-24,2,Equipment Use,329,A,34.30666667,-118.3752778,
CA,San Diego,2012-9-11,7,Arson,255,A,34.34472222,-118.4294444,
