,Country_name,datetime,humiditie,pressure,temperature,wind_direction,wind_speed
0,Albuquerque,2016-4-25,18.625,1010.3333333333335,286.4654631,208.08333333333331,4.875
1,Charlotte,2016-4-26,61.41666667,1015.7916666666665,294.18427075,223.0,2.5
2,Dallas,2016-4-27,65.95833333,1004.375,294.83568445833333,198.91666666666663,4.083333333333333
3,Houston,2016-4-28,85.625,1010.125,297.9148069708333,129.33333333333334,2.5416666666666665
4,Jacksonville,2016-4-29,65.25,1015.375,297.9170833333333,194.20833333333331,2.625
5,Las Vegas,2016-4-3,19.04166667,1018.9166666666665,292.32982814166667,192.375,1.3333333333333333
6,Los Angeles,2016-4-30,69.375,1011.4166666666665,288.69500000000005,184.875,2.7916666666666665
7,Miami,2016-4-4,66.0,1018.3333333333335,296.00473837916667,122.875,2.833333333333333
8,Nashville,2016-4-5,46.04166667,1025.4166666666667,283.9477302166667,88.25,3.875
9,New York,2016-4-6,43.25,1026.8333333333333,275.3787799583333,180.95833333333331,3.625
10,Phoenix,2016-4-7,14.16666667,1012.375,299.03756883333324,235.5,2.25
11,Pittsburgh,2016-4-8,67.83333333,1005.3333333333335,275.6626747166667,269.2083333333333,4.833333333333333
12,Saint Louis,2016-4-9,38.04166667,1022.375,278.09323932916664,218.5,4.833333333333333
13,San Antonio,2016-5-1,71.66666667,1009.75,295.8645833333333,42.5,4.416666666666667
14,San Diego,2016-5-10,63.83333333,1015.375,290.2908333333333,228.20833333333331,2.833333333333333
15,San Francisco,2016-5-11,88.91666667,1015.125,289.6995833333333,302.7083333333333,3.6666666666666665
16,Seattle,2016-5-12,54.625,1016.0,289.54583333333335,168.54166666666666,2.0416666666666665
17,Albuquerque,2016-5-13,28.54166667,1024.6666666666667,290.5058333333333,135.58333333333334,2.458333333333333
18,Charlotte,2016-5-14,59.79166667,1012.5,292.4058333333333,243.83333333333331,2.5
19,Dallas,2016-5-15,52.0,1019.8333333333335,291.3470833333334,79.58333333333333,3.375
20,Houston,2016-5-16,90.75,1014.0,294.5825000000001,84.29166666666667,2.708333333333333
21,Jacksonville,2016-5-17,73.54166667,1018.2083333333335,298.8091666666666,144.16666666666666,3.7916666666666665
22,Las Vegas,2016-5-18,35.70833333,1013.875,294.97166666666664,117.95833333333331,3.0
23,Los Angeles,2016-5-19,76.20833333,1013.8333333333335,291.71583333333336,159.45833333333334,2.0416666666666665
24,Miami,2016-5-2,70.70833333,1016.375,300.5266666666667,112.08333333333331,5.5
25,Nashville,2016-5-20,72.875,1016.4583333333335,290.1066666666667,101.0,1.8333333333333333
26,New York,2016-5-21,67.04166667,1020.5,288.2891666666667,139.41666666666666,3.0
27,Phoenix,2016-5-22,23.625,1011.375,298.01583333333326,208.75,4.25
28,Pittsburgh,2016-5-23,74.91666667,1015.875,288.44416666666666,213.66666666666663,1.8333333333333333
29,Saint Louis,2016-5-24,65.08333333,1015.125,295.45198111250005,164.08333333333334,2.375
30,San Antonio,2016-5-25,79.875,1014.5,299.78773533333333,140.16666666666666,4.125
31,San Diego,2016-5-26,64.70833333,1018.875,289.2882880375,226.91666666666663,2.5416666666666665
32,San Francisco,2016-5-27,77.41666667,1014.3333333333335,290.2059450583334,185.45833333333331,3.5416666666666665
33,Seattle,2016-5-28,78.29166667,1019.4583333333335,285.1366912916667,175.375,3.5416666666666665
34,Albuquerque,2016-5-29,13.79166667,1019.5,291.1157977291667,162.08333333333334,3.125
35,Charlotte,2016-5-3,78.04166667,1010.7916666666665,293.5520833333333,199.54166666666663,2.875
36,Dallas,2016-5-30,68.54166667,1015.7916666666665,296.6960692625,162.08333333333334,3.4166666666666665
37,Houston,2016-5-31,74.25,1012.8333333333335,298.9686809166668,156.04166666666666,2.208333333333333
38,Jacksonville,2016-5-4,68.625,1008.375,297.43833333333333,233.20833333333331,3.4166666666666665
39,Las Vegas,2016-5-5,17.0,1007.625,298.32,182.91666666666663,4.583333333333333
40,Los Angeles,2016-5-6,72.79166667,1011.7916666666665,288.27708333333334,238.45833333333331,2.0
41,Miami,2016-5-7,46.125,1014.4583333333335,295.05833333333334,257.4166666666667,3.1666666666666665
42,Nashville,2016-5-8,41.5,1013.6666666666665,296.4808333333333,231.25,3.208333333333333
43,New York,2016-5-9,61.20833333,1014.2083333333335,287.855,269.125,4.375
44,Phoenix,2016-6-1,15.125,1007.7916666666665,303.6919975541667,194.79166666666663,3.1666666666666665
45,Pittsburgh,2016-6-10,63.34782609,1019.9166666666665,292.0975,269.2916666666667,0.7916666666666666
46,Saint Louis,2016-6-11,63.217391299999996,1012.5416666666665,301.8975,188.75,1.75
47,San Antonio,2016-6-12,80.41666667,999.7916666666665,301.6120833333333,140.79166666666666,1.125
48,San Diego,2016-6-13,78.5,1018.5,288.785,282.0833333333333,1.0
